food	service	text
1	9	Праздновали мамин др и после, ей стало плохо. Ну, думаем, - патамучта экзотика. А потом я устроилась в этот ресторан работать. И поняла, что дело совсем не в ней: повар кладет широким жестом кушанье на тарелку, а края в каплях. Тогда офицантки пальцем проводят и слизывают соус и несут клиенту. Про рыбу: за такие-то деньги рыба могла бы быть и свежей. Но! Готовят из мороженной, которую размораживают с вечера, то есть за сутки!!! до подачи на стол. Не причина ли это того, что клиенты мучаются коликами после. (Заплатили как договаривались, расстались без скандалов, так что - это не месть. Это мое предостережение.)
0	7	Мохито плохой,пиво так себе . .Хухню не пробовали .Зал хороший, звук не очень. Сходим ещё,может чем и удивят хорошим)) Больше всего, раздражала уборщица с ведром и тряпкой. Она протирала пол у танц-пола и фонтана !!! Это позорище просто!!! Стало просто стыдно за это "действо" (просто школьная дискотека) Прошу управляющего убрать эту женщину ,она всех распугала ))))))) Пусть выходит на арену после закрытия.
0	10	Могу смело назвать это лучшим местом из тех, в которых мне доводилось бывать по всем параметрам. Интерьер. Не далее, как 2 года назад обсуждалось, что "неплохо было бы" если бы на голову (а лучше рядом) упал мешок евро и тогда можно будет открыть небольшое "атмосферное" заведение с огромным стеллажом книг. И то, что рисовало воображение практически полностью совпало с Де-факто, куда я абсолютно случайно зашла вчера вечером, дабы почитать и посмотреть что же это-таки такое Сервис. Не приклеенные улыбки, не фальшивая доброжелательность, не навязчивое внимание, и бармен, похожий на Илью Лагутенко... Кухня. Оценить не успела, однако изходя из того, что появляться я там буду - еще успею. Ценник. Средний Резюме: я сегодня зайду ) P.S. кофе вкусный P.P.S спасибо за сигареты
2	2	Празновали Новый год в Морисе! Скажу Вам, честно без всяких придирок, мы думали место идеально подходит для празднования Нового года, я много вариантов рассмотрела прежде чем выбрать именно Морис. Итак, выбрали мы его, потому что рядом было с домом. Билет на Новый год стоил 4000 на человека. Думаю эта сумма вполне нормальная для того, чтобы был и сервис, и еда вкусная, и стол празднично вкусно оформлен и шоу программа была адекватная)) Жалко, что на момент написания данного комментария у меня нет фотографий стола за которым мы сидели) Я человек не придирчивый праздник портить себе не хотела, но после того как мне принесли шашлык через 4 часа, программа началась в 23-00 а горячее блюдо подали в 3-00, который видно что вчерашний и даже не подогретый это ужасно( когда мы попросили позвать администратора, пришла женщина с таким видом, что просто под стол хотелось залезть, она была абсолютно не адекватна, на наш вопрос почему шашлык холодный она сказала мы его сейчас подогреем, но Вы и сами понимаете, что мы хотим свежее мясо шкварчащее только что с огня, но не как не вчерашнее и к тому же это дело уже принципа) там было четыре маленьких кусочка мы попросили принести весы и взвесить на что она с таким лицом взела тарелку моего друга и пошла куда-то в сторону кухни . После этого к нам подошла официантка и принесла уже 6 кусочков шашлыка и подогретые)где она взела еще 2 кусочка непонятно так быстро пожарить она не могла да и повара типо профессионалы тоже) Администратор на заметку отдыхала вместе со своей семьей со всеми гостями в зале за отдельным столом и к ним внимание было неописуемое) Обслуживание было ужасное! Вообщем мои хорошие никогда туда не ходите!!! Не портите себе праздник! Таких заведений у Нас в городе не должно быть вообще!!Это не ресторан как он себя называет!!!С уважением!!
0	10	очень приятная атмосфера,погружаясь в нее,забываешь о проблемах и суете!-это плюс.Но почему же такие мизерные порции?заказали много,но не наелись!-это минус.В следущий раз придем сытыми,закажем вина и будем наслаждаться профессиональным и завораживающим исполнением музыкантов и певцов!
1	2	Ужасное заведение. Заходим - с порога по ушам бьёт приблатнённой попсой. Сажают за столик на втором этаже, рядом стойка с посудой и т.п. Официантки протискиваются к ней за моей спиной - полный бред. Кухня - это отдельная песня, чего только стоят полуразогретые китайские овощи из заморозки, выдаваемые за свежие, да ещё и по космической цене. Интерьер ужасен, кресла неудобные, певичка орёт надрывается (просьбы сделать хоть немного потише игнорируются, а фигли - пипл гуляет), официантки снующие за спиной задолбали. Ни ногой туда больше.
1	1	Недавно по совету друзей побывала в ресторане набережная. Осталась очень разочарована кухней, их разрекламированным пивом и обслуживанием. На входе нас встретила неприветливый администратор. Вместо приветствия что-то промычала сквозь зубы. Сели за столик. Очень долго ждали заказ. Пиво не понравилось. Потом принесли черствый черничный пирог и предложили его запить чаем по стоимости несопоставимым с качеством. Больше туда не пойду и вам не советую.
2	1	Зашли днем пообедать, заказали шашлык, ждали свой заказ больше часа!!! Гарнир принесли, когда шашлык мы уже доедали! И это людей в ресторане почти не было! При нас тоже кто-то ругался, что долго ждут и ушли так и не дождавшись заказа. Официантов приходилось постоянно искать. Больше туда не пойдем! Отвратительное заведение!
1	3	На развлечения не попали. Но вот кухня отвратительна. Все заказанные мясные блюда были очень жирными, даже курица, залитая растительным маслом. Вместо салата из броколей принесли салат с водянистой цветной капустой. Из соков подавали только томатный. Блюда были смачно сдобрены дешевым майонезом и желатинистым кетчупом. Особенно выделялась на фоне прочих кулинарных изысков - свиная рулька. Фирменное блюдо состояло из костей, шкуры и сала. Аромат, распространявшияся от хрюшки, намекал, что в прошлом это был добротный кабанчик.
1	4	На входе большими буквами написано "КАФЕ ЗДОРОВОГО ПИТАНИЯ", искренне не понимаю, почему обжаренные во фритюре овощные шарики, являются здоровым питанием, для меня не понятно, почему салат из тонко нарезанных полосок цукини называется пастой? это недостаток образования человека который придумывает название или, что?СПРАВКА из вики: Па́ста (поздн. лат. pasta «пирожок, тесто»; возможно, восходит к греч. παστη «мучная подливка») — однородная кашицеобразная масса. Паста — общее название всех макаронных изделий (применяемое в других языках), а также блюда итальянской кухни из них (как правило, это — макаронные изделия с соусом), ну это ладно, но почему оно(это кулинарное блюдо), безвкусно, ладно, и это тоже не самое страшное, на втором этаже сидя у окно, есть замечательная перегородка, в которой стоят цветы, вроде классно, но от обильного поливания этих цветов, перегородка, начала подгнивать, и покрываться плесенью, или только я это вижу... ну да бог с ней, заказал еще равиольки со шпинатом, и опять непонимание, ну почему нельзя туда хоть лучка в фарш добавить, сольки там, вяленую помидорку,, товарищи почти 300 рублей ... зато посуда класс, плохого не скажу, пил смуззи, но тоже не понятно почему в "кафе здорового питания", нельзя летом испльзовать СВЕЖИЙ шпинат, не понятно мне, что в этом кафе ЗДОРОВОГО...
0	4	Насколько безликое название, настолько же и безликое кафе. Встречалась здесь со знакомым глубоко за полночь в воскресенье, т.к. это было чуть ли не единственное в округе круглосуточное несетевое заведение. А толку? Выглядит, как сетевое. Понравился интерьер лишь при входе (но там может уютно себя чувствовать только компания из минимум 4-5 человек) и в первом зале второго этажа (и то только благодаря сцене и соответсвующему антуражу вокруг) - во всех остальных залах неуютно. Отвратительное освещение - как в какой-нибудь больнице во время ночного дежурства. Брррр! Больничное же ощущение от некоторых залов - будто боксы или палаты. Совместный туалет (?!?) - весьма неприятно! Зашла, некоторое время не могла найти своего спутника, блуждая из одного помещения в другое. Хоть бы кто подошёл и поинтересовался, что я ищу, да и вообще, поприветствовать посетителя было бы не лишним. Вместо этого часть официанток трепалось где-то в стороне, часть - молча смотрело на меня с каким-то равнодушным недоумением. Меню пёстрое, в глазах рябь вызывающее. Оригинально, но не более того. Кухню оценивать не могу, ибо взяла всего лишь клубничный дайкири и мороженое. Девушка, которая нас обслуживала, предупредила, что мы попали на "коктейльный час", и что второй дайкири будет бесплатным. Ну да бох с тобой, лови плюсик за это. И мороженое (три шарика от Петрохолода + 2 сахарные палочки), и коктейль (слегка подтаявший замороженный клубничный сок) - более, чем слабо. Без энтузиазма допила бесплатное приложение, и то только потому, что безумно хотелось пить. Попросила принести мне обыкновенной воды, о моей просьбе благополучно забыли. Снова ловить и напоминать о себе не было никакого желания. Отдавай плюсик обратно. За весь вечер нашу официантку мы увидили раза три, и это при том, что воскресенье, время - ночь, в кафе - почти никого. И уже неудивительно то, что за счётом нам пришлось идти самим. Возвращаться нет никакого желания.
1	2	Были 6 ноября. Решили пообедать - неудачное решение. Из всего, что принесли съедобным был только суп, так как был жидким и горячим, но невкусным  Мясо подали уже остывшим и было впечатление, что оно осталось "со вчера", а сегодня его просто разогрели. Про ризотто могу сказать, что было впечатление, что практикант впервые его готовил, но его эксперимент не удался. Более-менее съедобная была карбонара, правда после нее весь вечер живот крутило. Я еще бы понял, если бы такое впечатление было после столовой, так ведь нет - очень даже ресторанные цены.      Разумеется, после такого обеда и оплаты его потребовали сатисфакции на их выбор.  Но администратор посовещавшись в глубинах ресторана с начальством, горой стояла за честь мундира, с пеной у рта доказывала, что все блюда приготовлены по технологии.     Уже потом, посмотрев внимательно я обратил внимание на те моменты, которые нужно стараться рассматривать сразу, а именно: прожженые сигаретами диваны, отсутствие зала для некурящих, отсутствие в туалете графика уборки, неряшливо одетые официантки.     Теперь то я понимаю, что люди делают деньги не на том, чтобы вкусно покормить, а на свадьбах и банкетах. Поэтому в данное заведение нужно идти поплясать, пива попить (хотя и это не прокатит, так как ассортимент пива из трех наименований).    Вывод для себя сделал такой: больше сюда ни за какие коврижки, тем более, что за углом в 50 метрах, на следующий день нашел ресторан с замечательной кухней - "Удачный выстрел" называется.  А этот ресторан давно уже прошел свой пик популярности, хозяин, видимо уже в годах, расслабился, и срок его кончины уже не за горами. Единственно на ком они выезжают, так это на таких как мы лохах - туристах, которые поленились почитать отзывы накануне посещения. Но долго на этом не протянут,  я думаю. Ну и аминь!
0	0	Являясь ценителем японской кухни, я всегда отдавал предпочтение ресторанам с высоким уровнем обслуживания, такие как "НАГАСАКИ","ДВЕ ПАЛОЧКИ" и т.д. Учитывая что "ЕВРАЗИЯ" по мнению моих друзей (ну и судя по отзывам) не самые лучшие рестораны города, обычно проходил мимо в поисках чего-либо ещё, тем более что конкурентов у сети хватает. И вот в понедельник 17 мая 2010г., гуляя с девушкой по славному городку КРОНШТАДТ, мы решили зайти куда-нибудь перекусить. Поскольку выбор в маленьком городе был невелик, мы остановились на ресторане "ЕВРАЗИЯ". Надеясь что сможем хорошо провести время в маленьком уютном ресторане. По крайней мере на первый взгляд нам так показалось. НИЧЕГО ПОДОБНОГО !!! Надежда осталась за порогом данного заведения. И так, мои впечатления от знакомства с данным рестораном: ------------------------------------------------------------------- ********** Ресторан "ЕВРАЗИЯ" г.КРОНШТАДТ пр. Ленина, 31 ********** ------------------------------------------------------------------- Зайдя в ресторан, мы поздоровались,прошли и сели за столик. Поздоровались мы как оказалось с воздухом. Учитывая что в других ресторанах ВАС всегда встретит администратор (бывает конечно и свободный официант) с милой улыбкой они помогут определиться с выбором зала (для курящих и не курящих посетителей), проводят к свободному столику. Да и бармен находящийся в баре, прямо напротив входной двери, на нас тоже особо ни как не отреагировал. Забавное гостеприимство для ресторана. Устроившись за единственным свободным грязным столиком в некурящем зале, на нас так ни кто и не обратил внимание. --------------------------------------------------------------- ***Гостеприимство если это так можно назвать, из 10 баллов 0*** --------------------------------------------------------------- Единственная засыпающая на ходу официантка еле ползала из зала в зал, от столика к столику, делая вид будто она работает. При всём этом, в течении 15 минут мы сидели за грязным столом и ждали когда же ни то что сможем сделать заказ, а хотя бы изначально посмотреть меню. Мне эта ситуация начала становиться неприятной, да и перед девушкой было неловко. --------------------------- ***Сервис из 10 баллов 0*** --------------------------- Не знаю как бы поступили остальные, но моё терпение быстро закончилось. В конце концов я Ваш клиент, гость, да хоть "КУРИЦА НЕСУЩАЯ ЗОЛОТЫЕ ЯЙЦА". А за клиента в наше время надо бороться. Я себя уважаю, значит со мной (КЛИЕНТОМ) так поступать не должны, по крайней мере это очень не уважительно. Если Вы хотите оставить о себе хорошее впечатление, чтобы человек хотел вернуться сюда ещё не один раз или как минимум получить свои чаевые, для этого надо вывернуться наизнанку. Пригласив администратора, которая как оказалось, всё это время занималась своими делами где-то в "подсобке", выяснилось что существует ещё один официант, которого мы до сих пор не видели. "Тот" видимо тоже занимался своими делами или чем-то ещё, но только не посетителями. Тупо похлопав глазами, администратор даже не удосужилась извиниться за подобную ситуацию. Трапезничать мы отправились в кафе неподалёку. Там нас приняли более достойно. И это только один случай из тысячи отзывов о сети "ЕВРАЗИЯ" -------------------------- ДЕЛАЙТЕ ВЫВОДЫ ГОСПОДА !!! -------------------------- Если бы выше стоящее руководство читало выводы о своих ресторанах, может быть качество сервиса и поменялось. Но для себя я решил, что "ОНИ" либо никогда не читают, что об их работе думают люди, либо (извините за выражение) им просто "НАСРАТЬ" на своих клиентов. А потому и подчинённые ведут себя подстать своему руководству. Я вообще для себя раз и навсегда решил, что это был первый и последний раз когда я зашел в ресторан данной сети. СОВЕТУЮ И ВАМ ЭТОГО НЕ ДЕЛАТЬ ЕСЛИ НЕ ХОТИТЕ РАЗОЧАРОВАТЬСЯ !!! В городе очень много ресторанов более достойных, чем "ЕВРАЗИЯ" Александр. СПб.
